Destination,State,Climate,Tags,Best_Season,Budget_Per_Day,Midrange_Per_Day,Luxury_Per_Day
Mumbai,Maharashtra,tropical,"beaches,shopping,nightlife,architecture",Nov-Feb,3200,8500,25000
Delhi,Delhi,extreme,"history,museums,shopping",Oct-Mar,2800,7500,22000
Bangalore,Karnataka,moderate,"gardens,nightlife,shopping",Oct-Mar,3000,8000,23000
Jaipur,Rajasthan,hot,"forts,palaces,history",Oct-Mar,2200,5500,16000
Kochi,Kerala,tropical,"culture,beaches,heritage",Nov-Feb,2400,6000,17000
Shimla,Himachal Pradesh,cold,"hill station,mountains,trekking",Apr-Jun,2600,6500,19000
Varanasi,Uttar Pradesh,extreme,"temples,culture,heritage",Oct-Mar,1400,3500,10000
Goa,Goa,tropical,"beaches,nightlife,culture,adventure",Nov-Feb,3100,8200,24000
Udaipur,Rajasthan,hot,"lakes,palaces,history,forts",Oct-Mar,2300,5700,16500
Darjeeling,West Bengal,cold,"trekking,hill station,mountains",Mar-May,2500,6300,18000
Hyderabad,Telangana,hot,"history,forts,culture,architecture",Oct-Feb,2700,7000,20000
Chennai,Tamil Nadu,tropical,"beaches,temples,culture",Nov-Feb,2600,6800,19000
Amritsar,Punjab,extreme,"temples,history,heritage,culture",Oct-Mar,2100,5200,15000
Rishikesh,Uttarakhand,moderate,"adventure,trekking,temples",Sep-Apr,1600,4000,12000
Jodhpur,Rajasthan,hot,"forts,deserts,history,palaces",Oct-Mar,2150,5400,15500
Kolkata,West Bengal,tropical,"culture,shopping,festivals,museums",Oct-Mar,2500,6500,18500
Mysore,Karnataka,moderate,"palaces,gardens,festivals,heritage",Oct-Mar,2000,5000,14500
Leh,Ladakh,cold,"adventure,mountains,trekking",Jun-Sep,3300,8700,26000
Ahmedabad,Gujarat,hot,"heritage,shopping,architecture,culture",Oct-Mar,2100,5300,15000
Pondicherry,Puducherry,tropical,"beaches,culture,heritage",Nov-Feb,2300,5800,16500
Agra,Uttar Pradesh,extreme,"history,architecture,heritage",Oct-Mar,2000,5100,14000
Pune,Maharashtra,moderate,"history,gardens,nightlife",Oct-Mar,2700,7200,21000
Bhubaneswar,Odisha,tropical,"temples,history,museums,architecture",Oct-Mar,1800,4500,13000
Lucknow,Uttar Pradesh,extreme,"history,architecture,shopping",Oct-Mar,1900,4800,13500
Srinagar,Jammu and Kashmir,cold,"lakes,gardens,mountains,culture",Apr-Jun,2800,7400,22000
Guwahati,Assam,tropical,"temples,nature,shopping,culture",Oct-Mar,1700,4200,12500
Jaisalmer,Rajasthan,hot,"deserts,forts,history,culture,palaces",Oct-Mar,2250,5600,16000
Manali,Himachal Pradesh,cold,"adventure,mountains,trekking,hill station",Apr-Jun,2700,7000,20000
Ooty,Tamil Nadu,moderate,"hill station,gardens,nature",Oct-May,2100,5200,15000
Kanyakumari,Tamil Nadu,tropical,"beaches,temples,heritage,culture",Nov-Feb,1600,4000,11500
Madurai,Tamil Nadu,hot,"temples,architecture,culture,heritage",Nov-Feb,1500,3800,11000
Aurangabad,Maharashtra,hot,"history,architecture,heritage",Oct-Mar,1700,4300,12500
Haridwar,Uttarakhand,extreme,"temples,culture,adventure,festivals",Sep-Apr,1400,3500,10000
Coimbatore,Tamil Nadu,moderate,"nature,gardens,temples,culture",Nov-Feb,1900,4800,14000
